state,STATEFP,CDFP,GEOID,NAMELSAD,LSAD,CDSESSN,area,perimeter,convex_hull,polsby_popper,reock,schwartzberg
MN,27,07,2707,Congressional District 7,C2,115,10.761923310551538,24.890383192966308,0.7299816584693936,0.2182913825702956,0.418864476565432,0.4672166334477996
MN,27,02,2702,Congressional District 2,C2,115,0.7418862075819561,5.721879659599641,0.7435405890791349,0.284753926882526,0.21764785655650576,0.5336233942421621
MN,27,06,2706,Congressional District 6,C2,115,0.9032839610181327,7.28501707756469,0.6232300461008922,0.21388139817958243,0.31307206186921493,0.4624731323867176
MN,27,08,2708,Congressional District 8,C2,115,10.063461289211318,19.572983222078456,0.78212685571509,0.33009823082574025,0.3673595889240577,0.5745417572515858
IL,17,01,1701,Congressional District 1,C2,115,0.07243933103200106,2.7616901385976425,0.6282664745324057,0.11935329048190667,0.18860479632314175,0.3454754556866618
IL,17,18,1718,Congressional District 18,C2,115,2.922646859043425,12.89191080391003,0.7391428570519388,0.22097931498772913,0.3895060822355931,0.47008437007385084
IL,17,07,1707,Congressional District 7,C2,115,0.018083268974351085,1.7640565643824666,0.5107087431536466,0.07302335676069416,0.1943481530808371,0.27022834189013956
IL,17,02,1702,Congressional District 2,C2,115,0.3034548755524611,3.2495092509588837,0.8063111326323747,0.36113404157660633,0.34826704749147397,0.6009442915750232
NE,31,01,3101,Congressional District 1,C2,115,2.5021540060158713,10.12641099913657,0.8309119880525819,0.3066286992204529,0.45734358905131944,0.5537406425579152
CA,06,36,0636,Congressional District 36,C2,115,1.5096230025142177,7.5754434910344255,0.9411549649343033,0.330569090445692,0.2644650246379476,0.5749513809407644
CA,06,16,0616,Congressional District 16,C2,115,0.7576138727827129,6.114625626048004,0.7446813099048045,0.25463496508412614,0.37160987587946465,0.5046136790497521
CA,06,46,0646,Congressional District 46,C2,115,0.01830926666571031,0.9203074313585279,0.7290203545734372,0.2716532819073594,0.48202555491071264,0.5212036856233457
CA,06,37,0637,Congressional District 37,C2,115,0.014004445469026905,0.7465043983852595,0.8176640532921123,0.31579920983240417,0.39890213479651343,0.5619601496835911
CA,06,33,0633,Congressional District 33,C2,115,0.12070080341072753,2.853985317269642,0.5784558979066665,0.1862158123313588,0.29044047375381493,0.4315273019536062
CA,06,15,0615,Congressional District 15,C2,115,0.16566079178255677,2.6425934684890695,0.7674530782235303,0.29810474050259383,0.3534302709814183,0.5459896890075799
IN,18,02,1802,Congressional District 2,C2,115,1.1155414862284943,5.516998352237118,0.8261742315248884,0.4605638867949939,0.580394414982502,0.6786485738546821
IN,18,09,1809,Congressional District 9,C2,115,1.2199808280863635,6.448053632819709,0.7995349002566806,0.3687275498582615,0.5350123321723522,0.6072294046390223
IN,18,06,1806,Congressional District 6,C2,115,1.694145038006809,6.615662384111955,0.8621425570057415,0.48642264444590255,0.575979875985071,0.6974400651281102
IN,18,08,1808,Congressional District 8,C2,115,1.9760098558451773,10.695705912365858,0.6947086282017272,0.21706013270786229,0.3826163979780889,0.4658971267435144
CA,06,53,0653,Congressional District 53,C2,115,0.034394135784395985,1.6809582092476303,0.7024042619348672,0.15296090081385674,0.41553030149254105,0.3911021616072414
CA,06,47,0647,Congressional District 47,C2,115,0.07586895602048571,5.374627242742276,0.14641072561922144,0.03300481280050998,0.06962688177445046,0.1816722675603241
CA,06,31,0631,Congressional District 31,C2,115,0.055860334477984,2.8877173635985454,0.5878047276596164,0.08417905138208014,0.16660247468829303,0.29013626347301047
CA,06,03,0603,Congressional District 3,C2,115,1.713748398619373,11.917283410998929,0.6275179407078074,0.1516360248038799,0.42300412756505745,0.38940470567762775
CA,06,21,0621,Congressional District 21,C2,115,1.7476769717522984,10.721613856505416,0.7158795888721547,0.19105161097683626,0.31049113760424574,0.4370945103485473
CA,06,48,0648,Congressional District 48,C2,115,0.06411773634704332,1.7561644599430664,0.7781227007944483,0.2612508291465966,0.3193034576288821,0.511127018603592
CA,06,10,0610,Congressional District 10,C2,115,0.486443031501949,4.346171365066357,0.763738362147073,0.3236146382892502,0.4335052286138038,0.5688713723586819
AR,05,01,0501,Congressional District 1,C2,115,5.081483563095844,22.545998922405268,0.7041618199316179,0.12562076254156673,0.4242150124308167,0.3544301941730793
AR,05,03,0503,Congressional District 3,C2,115,1.4353307577118812,11.3559544542781,0.5261725964574597,0.13986677830277608,0.31448816390791307,0.373987671324572
AR,05,04,0504,Congressional District 4,C2,115,5.7639189897515735,16.098647214731713,0.7973133287920667,0.27947886160356855,0.43840621316093786,0.5286576033725122
AR,05,02,0502,Congressional District 2,C2,115,1.304648971099823,8.25363122485138,0.711033879242839,0.2406652680849455,0.3946532480751977,0.49057646507445246
IN,18,01,1801,Congressional District 1,C2,115,0.3905239406333294,2.9577328000612595,0.8764838545032801,0.5609700201971937,0.4375672518714713,0.7489793189382427
CA,06,34,0634,Congressional District 34,C2,115,0.012135252573216349,0.761624230646945,0.7275583107425941,0.2628918841214583,0.49421642989072356,0.5127298354118456
